# EN description -> RU. Generated from KEY-keyed table; do not edit keys here.
# Window-matcher binds (WhatsApp, Google Messages/Photos/Maps) are
# intentionally ABSENT (see WEBAPP-BIND-AUDIT.md) until opts.id lands.
Agent	Агент
Apps menu	Меню приложений
Audio	Аудио
Background switcher	Смена обоев
Brightness down	Яркость ниже
Brightness down precise	Яркость ниже (шаг)
Brightness maximum	Яркость максимум
Brightness minimum	Яркость минимум
Brightness up	Яркость выше
Brightness up precise	Яркость выше (шаг)
Browser	Браузер
Browser (private)	Браузер (приватно)
Calculator	Калькулятор
Calendar	Календарь
Capture menu	Меню захвата
Clear reminders	Очистить напоминания
Clipboard manager	Менеджер буфера обмена
Close all windows	Закрыть все окна
Close window	Закрыть окно
Color picker	Выбор цвета
Disable touchpad	Выключить тачпад
Dismiss all notifications	Скрыть все уведомления
Dismiss last notification	Скрыть последнее уведомление
Display	Экран
Editor	Редактор
Eject media	Извлечь диск
Email	Почта
Emojis	Эмодзи
Enable touchpad	Включить тачпад
Expand window down	Большое окно вниз
Expand window down a little	Большое окно вниз (25 px)
Expand window down a lot	Большое окно вниз (300 px)
Expand window left	Большое окно влево
Expand window left a little	Большое окно влево (25 px)
Expand window left a lot	Большое окно влево (300 px)
Extract text (OCR) from screenshot	Распознать текст со скриншота
File manager	Файловый менеджер
File manager (cwd)	Файловый менеджер (здесь)
Focus on above window	Фокус на верхнее окно
Focus on below window	Фокус на нижнее окно
Focus on left window	Фокус на левое окно
Focus on next monitor	Фокус на следующий монитор
Focus on next window	Фокус на следующее окно
Focus on previous monitor	Фокус на предыдущий монитор
Focus on previous window	Фокус на предыдущее окно
Focus on right window	Фокус на правое окно
Former workspace	Предыдущий стол
Full screen	Весь экран
Full width	Вся ширина
Herdr keybindings	Бинды Herdr
Invoke last notification	Вызвать последнее уведомление
Keybindings	Горячие клавиши
Keyboard backlight cycle	Подсветка клавиатуры
Keyboard brightness down	Подсветка клавиатуры -
Keyboard brightness up	Подсветка клавиатуры +
Lock system	Заблокировать систему
Make webcam overlay larger	Оверлей камеры больше
Make webcam overlay smaller	Оверлей камеры меньше
Monitor scaling down	Масштаб монитора -
Monitor scaling up	Масштаб монитора +
Move active window out of group	Убрать активное окно из группы
Move grouped window focus left	Фокус группы влево
Move grouped window focus right	Фокус группы вправо
Move window	Переместить окно
Move window to group on bottom	Окно в группу снизу
Move window to group on left	Окно в группу слева
Move window to group on right	Окно в группу справа
Move window to group on top	Окно в группу сверху
Move window to scratchpad	Окно в скрытый стол
Move workspace to down monitor	Стол на нижний монитор
Move workspace to left monitor	Стол на левый монитор
Move workspace to right monitor	Стол на правый монитор
Move workspace to up monitor	Стол на верхний монитор
Music	Музыка
Music TUI	Терминальный плеер
Mute	Выключить звук
Mute microphone	Выключить микрофон
Network	Сеть
New email	Новое письмо
Next track	Следующий трек
Next window in group	Следующее окно в группе
Next workspace	Следующий стол
Omarchy menu	Меню Omarchy
Open notification history	История уведомлений
Passwords	Пароли
Pause	Пауза
Play	Играть
Pop window out (float & pin)	Окно поверх (закрепить)
Power	Питание
Power menu	Меню питания
Previous track	Предыдущий трек
Previous window in group	Предыдущее окно в группе
Previous workspace	Предыдущий стол
Reset zoom	Сбросить масштаб
Resize window	Изменить размер окна
Restore window width	Вернуть ширину окна
Save window width	Сохранить ширину окна
Screenrecording	Запись экрана
Screenshot	Скриншот
Scroll active workspace backward	Стол назад
Scroll active workspace forward	Стол вперёд
Set reminder	Создать напоминание
Share	Поделиться
Show battery remaining	Заряд батареи
Show reminders	Показать напоминания
Show time	Показать время
Shrink window left	Маленькое окно влево
Shrink window left a little	Маленькое окно влево (25 px)
Shrink window left a lot	Маленькое окно влево (300 px)
Shrink window up	Маленькое окно вверх
Shrink window up a little	Маленькое окно вверх (25 px)
Shrink window up a lot	Маленькое окно вверх (300 px)
Swap window down	Переставить окно вниз
Swap window to the left	Сдвинуть окно влево
Swap window to the right	Сдвинуть окно вправо
Swap window up	Сдвинуть окно вверх
Switch audio output	Аудиовыход
Switch media source	Источник медиа
System menu	Системное меню
Terminal	Терминал
Theme menu	Темы
Tiled full screen	Весь экран мозаикой
Tmux keybindings	Бинды Tmux
Toggle dictation	Диктовка
Toggle laptop display	Экран ноутбука
Toggle laptop display mirroring	Дублирование экрана
Toggle locking on idle	Блокировка в простое
Toggle menu	Меню
Toggle nightlight	Ночной свет
Toggle scratchpad	Скрытый стол
Toggle silencing notifications	Тихий режим
Toggle single-window square aspect	Квадратное окно
Toggle top bar	Верхняя панель
Toggle touchpad	Тачпад
Toggle weather	Погода
Toggle window floating/tiling	Тип окна
Toggle window gaps	Отступы окон
Toggle window grouping	Группа окон
Toggle window split	Разделение окна
Toggle window transparency	Прозрачность окна
Toggle workspace layout	Раскладка окон
Transcode	Изменить формат
Volume down	Громкость -
Volume down precise	Громкость - (шаг)
Volume up	Громкость +
Volume up precise	Громкость + (шаг)
X Post	Пост в X
Zoom in	Приблизить
