Terminal	Терминал
Browser	Браузер
File manager	Файловый менеджер
Editor	Редактор
Music	Музыка
Passwords	Пароли
Calendar	Календарь
Mail	Почта
Terminal (here)	Терминал (здесь)
Browser (private)	Браузер (приватно)
File manager (here)	Файловый менеджер (здесь)
Spotify	Spotify
1Password	1Password
HEY Calendar	HEY Календарь
HEY Mail	HEY Почта
Omarchy menu	Меню Omarchy
Keybindings	Горячие клавиши
System	Система
Applications	Приложения
Web apps	Веб-приложения
Update	Обновление
Reboot	Перезагрузка
Power off	Выключение
Lock	Заблокировать
Switch user	Переключить пользователя
Settings	Настройки
Terminal player	Терминальный плеер
Clipboard manager	Менеджер буфера обмена
Emojis	Эмодзи
Capture screenshot	Захват экрана
1-Window Ratio	Пропорции окна
About	О системе
Add Plugin	Добавить плагин
Agent	Агент
Apps	Приложения
Audio	Звук
Background	Фон
Battery Percentage	Процент заряда
Bottom	Снизу
Capture	Захват
Channel	Канал
Chromium Account	Аккаунт Chromium
Clear all	Очистить всё
Clipboard	Буфер обмена
Clone Plugin	Клонировать плагин
Color	Цвет
Community	Сообщество
Config	Настройки
Crash Capture	Логи сбоев
Custom	Пользовательский
Default Agent	Агент по умолчанию
Default Browser	Браузер по умолчанию
Default Editor	Редактор по умолчанию
Defaults	По умолчанию
Default Terminal	Терминал по умолчанию
Development	Разработка
Dictation	Диктовка
Direct Boot	Прямая загрузка
Disable Plugin	Отключить плагин
Disk Speed Test	Проверка скорости
Display	Экран
Docker DB	База данных Docker
Drive Encryption	Шифрование диска
Edit Text	Редактировать текст
Enable Plugin	Включить плагин
Extra Themes	Дополнительные темы
File	Файл
Fingerprint	Отпечаток пальца
Firmware	Прошивка
Folder	Папка
Install	Установить
Language	Язык
Plugins	Плагины
Security	Безопасность
Theme	Тема
